sample size, layer size,node size, activation, solver, fit time, train time, test time, train mse, test mse, train mae, test mae, accuracy, precision, recall
30000,5,500,relu,sgd,2342.987489,2.183921099,0.582059145,0.048333333,0.102333333,0.048333333,0.102333333,0.951666667,0.926954733,0.639007092
45212,5,500,relu,sgd,2024.558113,2.736035824,0.579382896,0.047416296,0.107375871,0.047416296,0.107375871,0.952583704,0.915209502,0.655482042
45212,5,500,tanh,sgd,1861.811383,4.882372141,1.022668123,0.093699024,0.094105938,0.093699024,0.094105938,0.906300976,0.65559247,0.419659735
45212,5,500,tanh,lbfgs,1609.708597,3.08894515,0.796017885,0.074843098,0.096649342,0.074843098,0.096649342,0.925156902,0.718794835,0.591918715
45212,5,500,relu,lbfgs,1417.29945,2.672840834,0.684294939,0.029472753,0.115227248,0.029472753,0.115227248,0.970527247,0.894566301,0.848062382
45212,3,500,relu,sgd,1184.606889,1.236355066,0.309752703,0.084824021,0.096870508,0.084824021,0.096870508,0.915175979,0.711944647,0.461956522
45212,3,500,tanh,sgd,1143.712136,1.744839907,0.449785948,0.095606735,0.094658852,0.095606735,0.094658852,0.904393265,0.647597254,0.401228733
30000,5,500,tanh,sgd,1127.788602,3.221565962,0.796395063,0.095458333,0.095166667,0.095458333,0.095166667,0.904541667,0.648179272,0.410283688
10000,5,500,relu,sgd,1056.671644,1.158695221,0.276450157,0.0765,0.103,0.0765,0.103,0.9235,0.757009346,0.515923567
45212,3,500,tanh,sgd,1055.511679,1.719358921,0.447444916,0.095689679,0.095101183,0.095689679,0.095101183,0.904310321,0.653280318,0.388232514
45212,3,500,relu,sgd,1042.624231,1.241080046,0.311577082,0.085764052,0.096096428,0.085764052,0.096096428,0.914235948,0.725819345,0.429111531
30000,5,500,tanh,lbfgs,1010.387514,2.098654032,0.562838078,0.064666667,0.098166667,0.064666667,0.098166667,0.935333333,0.770017036,0.641134752
30000,5,500,relu,lbfgs,927.088918,1.698778868,0.468886852,0.009583333,0.11,0.009583333,0.11,0.990416667,0.965158046,0.952836879
30000,3,500,relu,sgd,899.3628228,1.157071114,0.327158689,0.088583333,0.0955,0.088583333,0.0955,0.911416667,0.687162891,0.45177305
45212,3,500,logistic,adam,886.9861271,1.606944084,0.403778791,0.085902292,0.0917837,0.085902292,0.0917837,0.914097708,0.669785693,0.524338374
45212,5,500,tanh,adam,879.3458521,3.668810129,0.862437248,0.012413946,0.109808692,0.012413946,0.109808692,0.987586054,0.930375427,0.96620983
45212,3,500,tanh,lbfgs,873.057451,1.727257729,0.44624877,0.068871133,0.102067898,0.068871133,0.102067898,0.931128867,0.760550733,0.600425331
45212,3,500,tanh,lbfgs,870.0601287,1.708587885,0.444159031,0.071746523,0.098418666,0.071746523,0.098418666,0.928253477,0.742374889,0.592391304
30000,3,500,relu,sgd,845.6717839,1.247565031,0.33199811,0.0885,0.095,0.0885,0.095,0.9115,0.70023015,0.431560284
8000,5,500,relu,sgd,822.053468,1.001162052,0.276290178,0.0865625,0.099375,0.0865625,0.099375,0.9134375,0.694029851,0.488188976
45212,3,500,relu,lbfgs,765.4249101,1.420220137,0.358696938,0.027924466,0.110693354,0.027924466,0.110693354,0.972075534,0.910132383,0.844754253
45212,3,500,relu,lbfgs,762.4802101,1.405495167,0.361607075,0.031214576,0.110582771,0.031214576,0.110582771,0.968785424,0.894482583,0.831285444
10000,5,500,tanh,lbfgs,688.3005912,1.41344595,0.421968699,0.004375,0.122,0.004375,0.122,0.995625,0.989212513,0.973460722
45212,2,500,logistic,adam,684.8074291,0.936828136,0.239362717,0.053885924,0.09775517,0.053885924,0.09775517,0.946114076,0.800790514,0.718100189
30000,3,500,logistic,lbfgs,681.9587519,1.060930014,0.299273014,0.101333333,0.099333333,0.101333333,0.099333333,0.898666667,0.620797011,0.353546099
30000,3,500,tanh,sgd,659.2134941,1.232230186,0.313309908,0.096583333,0.098333333,0.096583333,0.098333333,0.903416667,0.66319896,0.361702128
10000,5,500,relu,lbfgs,631.7254791,1.056107044,0.30004096,0,0.1255,0,0.1255,1,1,1
10000,5,500,tanh,sgd,612.7830007,1.517940998,0.385883093,0.097125,0.104,0.097125,0.104,0.902875,0.644991213,0.389596603
