a,b,c,y
-1.109777166,-0.095969357,1.990128936,0
1.121768467,0.087653682,-1.921956316,1
0.330550239,-1.717411908,0.179673098,0
-0.228789239,-1.737064492,1.183428624,0
-0.427421263,-0.975619081,1.249003563,0
0.468772524,-1.575323546,-0.838452255,0
-0.32468058,-1.133802328,1.097633358,0
0.540647468,-2.348012874,0.145299117,0
-0.494444099,-1.831618265,0.881529917,0
-1.365543069,0.004167821,2.30463632,0
0.334178741,-1.708248559,0.127610465,0
-0.201633253,-1.212886254,1.247317888,0
0.513617625,-1.948913194,0.375563632,0
-0.561919792,-0.783849023,1.394883171,0
-0.634848203,-0.823368949,1.314920478,0
-0.732501742,-0.664193961,1.401481889,0
-1.072780329,-0.239691182,2.094978239,0
0.160490204,-1.600739167,0.777860562,0
-1.298489229,-0.073372361,2.180253283,0
-1.398086825,0.079442277,2.408947509,0
0.052540586,-1.584826961,0.478658668,0
0.030831731,-1.922203004,0.861965936,0
-1.035302349,-0.294914859,1.892762045,0
0.184507917,-1.984643791,0.558662654,0
0.377033007,-1.87190066,0.228605949,0
-0.777105737,-1.066390198,1.760679098,0
-0.631317007,-0.865791583,1.755520407,0
0.234773754,-1.561546838,0.461740725,0
-0.858642912,-1.011178344,1.906263249,0
0.124334019,-1.573599218,0.461485225,0
0.589421848,-2.378257541,0.024150865,0
-1.204778395,-0.214453398,1.099844139,0
-0.779491534,-0.591445134,1.639811978,0
-1.21328351,-0.61394287,2.473914813,0
-0.958795488,-0.434384618,1.907350909,0
-1.025050965,0.394117848,1.773694934,0
-0.420075344,-0.929972951,1.090631216,0
0.21010045,-1.708947365,0.654728415,0
-0.725293331,-0.005428347,1.087728335,0
0.031785437,-1.368543288,1.122329224,0
0.252660903,-1.682588056,0.674457462,0
-0.014435169,-1.231804188,0.513598753,0
-0.69365039,-0.814187155,1.413344521,0
-0.850378925,-0.613033978,1.71949108,0
-0.585519236,-0.501220833,2.026701956,0
-0.700195003,-0.636282581,1.832311466,0
-0.058350294,-1.294216258,1.035085179,0
-1.284086914,-0.08045103,2.587929094,0
-0.378847858,-1.143020975,0.942268753,0
-0.758587032,-0.271342414,0.49368463,0
0.588645861,-1.957938803,0.096878715,0
-0.808147662,-0.506945436,1.731626849,0
-0.397709225,-0.97597465,1.197044646,0
-0.211582273,-1.265737328,0.991034704,0
0.214782653,-1.480279901,0.975172614,0
0.959256065,-2.868575735,-0.46330301,0
-0.293773078,-1.149024795,0.258636514,0
0.227104756,-1.590414555,0.391400055,0
-0.419710786,-1.084279096,1.23052386,0
0.517895765,-1.952207978,0.182955706,0
-0.415199617,-0.586729845,1.648480979,0
-0.426790542,-1.066364056,1.49069852,0
-0.191138805,-0.980064912,1.043366163,0
-1.277413106,-0.051878356,2.20298001,0
0.103796612,-1.504075229,0.540477596,0
-0.415894777,-1.011391071,1.364967086,0
-0.993684558,0.02322655,1.714877447,0
-1.544120682,0.616179727,1.765355288,0
-0.76888495,-0.534923568,1.614806308,0
-0.784753419,-0.625028068,1.348417415,0
0.218677857,-1.230253432,0.341669187,0
-1.044719435,-0.371049465,1.970797272,0
0.098495128,-2.041277469,0.533863189,0
-0.820173424,-1.020509323,1.733334572,0
-1.180782576,-0.142956334,2.149112026,0
-0.330197388,-0.999986922,0.968398469,0
-0.636670239,-0.7614546,1.336957384,0
-0.904245862,-0.592645854,0.946073396,0
-0.68848039,-0.290633349,0.442503218,0
-0.153883964,-1.656107422,0.820370272,0
-0.538846275,-1.801452157,0.558197448,0
-0.008811878,-1.361752951,0.985450163,0
-0.448441497,-0.589418753,0.118494588,0
0.358942262,-1.738404869,0.084340421,0
-1.015633481,-0.033574073,2.48106666,1
-0.956582258,-0.878166451,2.2299217,0
-1.063818014,-0.283187548,1.977217293,0
-1.176918924,0.406232196,1.926116461,1
-0.011321753,-1.095096696,1.101136363,1
-0.269598539,-1.647200487,0.967272693,0
-1.006149977,-0.445439387,1.846870719,0
-0.11729722,-0.951683556,-0.167198587,0
0.041748354,-2.043660397,0.524683208,0
-1.100021102,-0.192345884,2.430582015,0
-0.810072232,-0.611018945,1.753965678,0
-1.029536729,0.001708074,1.077717895,0
-0.343009807,-1.48568878,1.294332971,0
-1.210576496,0.19310421,1.261964815,0
-1.237490741,-0.141365751,2.198191681,0
-0.153928297,-1.320951164,0.814406129,0
-0.6824165,-0.718490598,1.520817031,0
-0.436058629,-1.05699501,1.346803601,0
-1.538622515,0.524419834,1.537867059,0
-1.09437704,-0.248480828,2.026062686,0
-1.487596274,-0.007965033,2.131347036,0
0.766645823,-2.13229411,-0.22518507,0
-0.462069345,-0.994565174,1.339210926,0
-0.612299102,-0.788362308,1.303440672,0
-0.768589163,-0.853620258,0.957729074,0
-0.273812581,-0.974316537,1.228560156,0
-0.58712047,-0.71979612,1.534277924,0
0.54545786,-2.020637127,-0.053817896,0
-0.461180437,-0.603285059,0.153227688,0
-1.541411411,-0.310313093,2.725401792,0
-0.552255295,-0.819961184,1.436398217,0
-1.055487655,-0.252598829,1.945186472,0
-0.515367795,-0.995777319,1.284539038,0
-0.476278064,-0.903476439,1.70598415,0
0.455877077,-1.813426027,0.247002876,0
-1.1822712,0.222008777,1.091746729,0
-1.53821169,0.532226164,1.345325312,0
-0.163104187,-1.180670165,0.897093418,0
-0.719819624,-0.737649221,1.581415312,0
-0.251748575,-1.450749881,1.054647808,0
-0.374949217,-1.600891364,0.912988667,0
-1.214981383,-0.258793915,1.090376264,0
0.658820525,-2.131501808,-0.277512376,0
0.446257713,-2.300802157,0.473658536,0
-0.019989759,-1.935139406,0.629984692,0
-0.035319837,-1.489901417,0.841397472,0
-0.630294042,-0.521691944,1.406030678,1
-0.930231849,0.024332741,1.058317441,0
0.45739257,-1.844679372,0.523782824,0
0.506484362,-1.795494334,-0.03321524,0
-0.479901792,-1.33411258,1.393039608,0
0.375667911,-1.880224967,0.291993982,0
0.241273692,-1.780782015,0.55005174,0
0.730955419,-2.171675131,-0.273693965,0
0.177446883,-1.270342919,-0.653637127,0
-0.002836607,-1.394134992,0.948059739,0
-0.465309389,-0.88958039,1.475080682,0
-0.963400873,-0.299472534,1.986430101,0
0.351203444,-1.756372282,0.674850337,0
-1.60659957,0.549558731,1.737425922,0
-0.225384856,-1.259050035,1.077490547,0
-0.985204229,-0.433484417,1.885273907,0
0.055473205,-1.582331888,0.481706976,0
-0.97039873,-0.414476924,1.692746245,0
-0.695443463,-0.721190583,1.751781366,0
-0.687187304,-0.777371095,1.194023782,0
-1.158038182,-0.153293328,2.099276268,0
-0.579444978,-0.968547046,1.341856982,0
0.895583688,-2.325839287,-0.311231614,0
-0.113576342,-0.905319537,1.614461535,0
-0.281154386,-1.222826306,1.047321682,0
-1.364212723,0.271038907,1.022049125,0
-0.265569412,-1.292864301,0.725801827,0
-0.575936431,-0.793011773,1.394600414,0
-0.697128397,-0.636521047,1.625534755,0
-0.888179059,-0.654323377,1.496904944,0
-0.687931407,-0.782021569,1.417005983,0
-0.289304961,-1.087186462,0.867613052,0
0.319637793,-1.684007358,0.187483709,0
0.230121112,-1.630931584,0.171188396,0
-0.524935074,-1.072902019,1.001547718,0
-0.343759812,-1.08557311,1.051737126,0
0.638293444,-2.086007151,0.277547937,0
-0.904007006,-0.492339503,1.729227728,0
-0.67690859,-0.633893249,1.38956745,0
-1.515190799,0.525702142,1.839762901,1
-1.537490551,0.385609528,1.316370343,0
0.010876981,-1.309968469,1.150679575,0
-0.348352456,-1.432163201,1.04088041,0
-0.637328668,-0.809419406,1.665291703,0
-0.309693033,-0.673430509,0.136612642,0
-0.854134997,-0.517178642,1.944102388,0
-0.584008856,-0.677628623,1.734522822,0
-0.764627557,-0.756329647,1.675903644,0
-0.084885619,-1.521185555,0.531045416,0
-0.638106977,-0.774001523,1.274769763,0
-0.581256079,-0.65010722,1.612564383,0
-0.014178134,-1.429532608,0.639101758,0
0.330066758,-1.689706003,0.280400656,0
0.1864678,-1.471321871,0.732230938,0
-0.083176895,-1.32929299,0.814957332,0
-0.625011626,-0.907831019,1.579397859,0
-1.344632538,0.018031818,2.325468831,0
0.299849894,-1.437063651,0.207176867,0
-1.243411175,0.444190676,1.12886095,0
0.522212404,-2.338470223,0.285734074,0
0.560846244,-1.876300415,0.206656422,0
-0.776793967,-0.51541937,1.690342819,0
-0.244966496,-1.19357252,1.036690171,0
-1.053792503,-0.406439768,1.784864386,0
-0.600818119,-0.872150002,1.665330674,0
-0.111490901,-1.350825056,0.980797881,0
0.52611473,-1.978321192,0.069341504,0
-0.079961858,-1.376841583,0.700834291,0
-0.834715368,-0.614483187,0.595729675,0
-0.573376753,-0.814265926,1.419108476,0
-1.180661591,-0.103339221,1.873026159,0
-0.663453358,-0.687632861,1.94106463,0
-0.96926516,-0.425890081,2.201832347,0
-0.416851201,-0.939442142,1.390041813,0
0.772212402,-2.179895623,-0.162186141,0
0.067831337,-1.496138,0.626417769,0
-0.625676485,-0.441908265,1.132696231,0
-0.58820597,-1.30347079,1.415491243,0
-0.509504928,-0.879284715,1.343590517,0
0.763599317,-2.129244214,-0.237168678,0
-0.425933252,-1.035558607,1.351716099,0
-0.234245996,-1.256520177,1.127826622,0
-0.861732981,-0.608473351,1.702316589,0
-1.562155663,0.597475683,1.673119998,0
-0.023176593,-1.440363456,0.61968082,0
-1.146564319,-0.18631345,2.110784529,0
-0.388130737,-1.022926221,1.038039236,0
-0.69860921,-0.467430267,0.46160874,0
-1.154025405,-0.050908831,1.14248416,0
-1.448253815,0.474093616,1.62553792,0
-0.569628915,-1.368850144,1.29225081,0
-0.40293394,-1.024855986,1.470925922,0
-0.303247866,-1.135324596,1.1161453,0
0.1253292,-1.566294825,0.780851944,0
-1.311514079,-0.199469815,1.42827348,0
0.464082125,-1.62461527,0.580228007,0
-1.045012962,-0.399773033,1.794582462,0
-0.852518012,-0.652110672,1.469496658,0
0.38730165,-1.815394804,0.188685431,0
-0.472223638,-0.695064628,0.288452729,0
-0.301904511,-0.99350099,0.840908885,0
-0.965526425,-0.45568971,1.800984159,0
0.184320524,-1.614645874,0.459117095,0
-0.925058378,-0.410660686,2.029196288,0
-1.019994303,0.021364283,0.97333165,0
-1.201220364,-0.090973207,2.143819677,0
-0.894762667,-0.526908928,1.729855931,0
-0.674850657,-0.769806577,1.627254237,0
-0.618030281,-0.828667366,1.436126056,0
-0.301532066,-1.118638104,1.356388501,0
-0.67182616,-1.048172773,1.643617904,0
-0.454722998,-1.416617271,1.175063734,0
-0.214283148,-1.163714957,1.368478899,0
-0.831958098,-0.317129749,1.020697888,0
-0.313632214,-1.134953315,0.951341425,0
-0.95753417,-0.360159557,1.523922026,0
-0.590772782,-0.564432399,0.455944431,0
0.875625362,-2.423283587,-0.367600803,0
-0.511816291,-0.951152849,1.267882925,0
-0.285771023,-1.14188935,1.167939544,0
-0.526341064,-0.698677464,1.214705129,0
-0.838818332,-0.61099487,1.925175173,0
-0.810305134,-1.048722034,1.783845019,0
0.699524344,-2.129728647,-0.28200984,0
0.381075798,-1.826077456,0.187041017,0
-0.170268071,-1.14994498,0.844154064,0
-0.634847179,-0.719675175,1.561460993,0
-0.866872214,-0.607014746,1.518920044,0
0.673004608,-2.032389389,-0.414447651,0
-0.0364507,-1.837081135,0.753105782,0
-0.370731735,-1.114165578,1.15043584,0
-0.744085123,-0.652137527,1.68564648,0
0.303780836,-1.760687837,0.178601397,0
-0.106173409,-1.37413404,0.72801013,0
-0.37688044,-1.142279613,0.814151626,0
-0.811689515,-0.588167027,1.768746746,0
0.473518479,-1.971225861,-0.061412567,0
0.266738627,-1.610901228,0.362901274,0
-0.107008148,-1.341027115,1.173815941,0
-0.855178915,-1.059141324,1.638376725,0
-0.642829585,-0.703444536,1.615688988,0
0.086156861,-1.860749886,0.665660065,1
-0.212617789,-0.979980311,1.295851175,0
-1.00153744,-0.587416073,1.269765604,0
-1.133437333,-0.042269346,0.903862848,0
-0.484515957,-1.092681671,1.417180788,0
-1.138783835,-0.396987131,1.851137768,0
0.09013193,-1.685460409,0.192521405,0
-0.901963532,-0.241962799,0.540014375,0
0.479500292,-1.941878189,-0.204966684,0
-1.037959766,-0.14791181,1.163297115,0
-1.071320941,-0.33850349,1.891515787,0
-0.665217894,-1.353030825,1.669611473,0
-1.400588694,0.197881916,0.889124996,0
-1.37063093,-0.040619862,2.174722741,0
0.572694529,-2.12810185,-0.097489762,0
0.336049622,-1.809809575,0.477222568,0
-0.817125102,-0.699863901,1.799162858,0
-0.213523152,-1.271939224,0.44305725,0
-0.127925659,-1.340774347,0.84535889,0
-0.614872425,-0.901480848,1.628747058,0
-0.457988458,-1.086009965,1.101179921,0
0.226467763,-1.514961883,0.405800242,0
0.817161322,-2.386846075,-0.51531582,0
-1.413817276,0.290848243,1.235885405,0
-0.139329706,-1.534495935,0.463205575,0
-0.792894063,-0.541365935,1.389739807,0
0.577613149,-2.083928725,-0.02595048,0
