a,b,c,d,e,y
-1.10357576,-0.059387758,1.949634392,-0.569311963,0.080284537,0
1.14760644,0.029312021,-2.041461137,-0.655355064,-0.360341461,1
0.347586352,-1.71795734,0.157244361,-0.880010579,0.380013256,0
-0.238411741,-1.730164135,1.161595801,0.655997657,-1.134813818,0
-0.428678049,-0.960640164,1.198516655,-0.395475426,0.295385231,0
0.475328315,-1.592247499,-0.79510056,-1.506198132,-0.008230462,0
-0.324650057,-1.112108327,1.140625105,-0.36327302,0.169804167,0
0.547857029,-2.357166949,0.148646591,-0.152648322,-0.955815495,0
-0.506965861,-1.860879553,0.775039614,0.695783989,-3.725443943,0
-1.360251342,0.049130853,2.275681719,-0.112504197,0.008395996,0
0.350592939,-1.707150709,0.119852356,-0.802267739,0.547467835,0
-0.200794707,-1.209066741,1.147993343,-0.900227787,-0.015456146,0
0.517632392,-1.96127704,0.30628037,-1.174157541,0.262765207,0
-0.554536594,-0.764401072,1.348944051,-0.719635432,-0.260910296,0
-0.629147261,-0.801560294,1.266535548,-0.083699892,0.215434273,0
-0.724177414,-0.636094587,1.384105239,-0.205056553,0.12405112,0
-1.068358936,-0.203946232,2.064265746,-0.592039816,-0.256008445,0
0.16701782,-1.611010901,0.628928341,-1.004366849,0.184310084,0
-1.292483976,-0.028590459,2.167012528,-0.07434778,0.051075861,0
-1.391733173,0.122830293,2.357576317,-0.332899161,-0.191828869,0
0.054261631,-1.570086093,0.556121537,-0.167552777,0.398904718,0
0.022434319,-1.919905728,0.867376454,0.339729156,-1.164374299,0
-1.029789058,-0.259717801,1.861756173,-0.320405919,0.056592851,0
0.193177151,-1.983070424,0.564398568,-0.013165289,-1.024110938,0
0.377582115,-1.866835456,0.308919823,-0.626759095,0.151330499,0
-0.780447562,-1.040161877,1.765771435,0.606237682,-1.320340916,0
-0.636369102,-0.849906934,1.667634648,-0.443334327,-0.142205507,0
0.249494723,-1.560193704,0.43564991,-1.1814696,0.164274447,0
-0.863175536,-0.993006011,1.813192409,0.689885895,-1.307245407,0
0.140052315,-1.575830462,0.395351144,-0.92165156,0.255847974,0
0.600596926,-2.391870231,-0.003851056,-0.225847997,-1.050430496,0
-1.206953969,-0.19194903,1.119636259,0.185141353,-1.597690876,0
-0.775547888,-0.562235653,1.625848614,-0.419532217,-0.00751144,0
-1.218485475,-0.593164683,2.310723534,0.568127483,-1.546374961,0
-0.954792288,-0.407773192,1.820412329,-0.356618641,-0.112706801,0
-1.021299102,0.435701485,1.790067494,-1.492252554,0.924605021,0
-0.405952186,-0.913610342,1.034793111,-0.622483381,0.104473467,0
0.205705821,-1.706024838,0.675618631,-0.759229224,-0.030019952,0
-0.719473106,-0.004905323,1.006758564,-2.795227006,-1.895533861,0
0.03242537,-1.373370717,1.010122779,-1.452519205,-0.335753049,0
0.258795317,-1.690402265,0.575098177,-1.089793015,0.167987268,0
-0.003204877,-1.218791424,0.533996984,-0.795287535,0.571183081,0
-0.690315373,-0.791978297,1.382146659,-0.199313843,0.152307982,0
-0.848334711,-0.590481539,1.62286062,-0.089666034,0.136744215,0
-0.579861142,-0.498096429,1.835592631,-2.240478723,-1.404846748,0
-0.697791399,-0.625033123,1.678347423,-0.959258218,-0.514348954,0
-0.049002241,-1.288291348,0.978750721,-1.193982516,-0.010653329,0
-1.284362889,-0.050917301,2.447644262,-0.620474338,-0.490098075,0
-0.373911555,-1.124368854,0.962324434,-0.231699227,0.230687107,0
-0.750443637,-0.255141548,0.519371714,-0.970607067,-0.20879803,0
0.601005513,-1.964295992,0.099018638,-1.313619006,0.134619223,0
-0.805449417,-0.482518899,1.664704524,-0.561234746,0.011963122,0
-0.387311459,-0.958713028,1.161201173,-0.71088923,0.003930422,0
-0.212181279,-1.246874674,1.040016006,-0.416869212,0.123728139,0
0.224285255,-1.495648725,0.799842428,-1.968353858,-0.567387009,0
0.966705499,-2.886893276,-0.432449561,0.020598588,-0.790070688,0
-0.292299015,-1.152614196,0.262679281,-0.53283612,-1.497584188,0
0.240939832,-1.586346038,0.386732601,-0.932414364,0.393371045,0
-0.421095425,-1.069513605,1.181596771,-0.174695518,0.255790397,0
0.528420646,-1.965338641,0.101115776,-1.053209808,0.277631874,0
-0.401528682,-0.575417614,1.576738,-2.499793952,-1.566248275,0
-0.433546486,-1.048867385,1.474798784,-0.485400155,-0.013645286,0
