a,b,c,d,e,f,g,y
-1.108013529,-0.0498936,1.953879508,-0.606003169,0.124424772,-0.56010621,0.412365083,0
1.142040483,0.041449585,-2.035177096,-0.710237936,-0.285312414,-1.071656432,-0.25995919,1
0.343318198,-1.705496939,0.164412239,-0.934257299,0.427621606,-0.179134153,0.738499788,0
-0.236852948,-1.73115884,1.161509959,0.67660861,-1.138867414,-0.212149873,0.39566707,0
-0.428294438,-0.959971767,1.199138352,-0.388251374,0.270212871,-0.496833959,1.416825411,0
0.47332992,-1.584976622,-0.790111636,-1.528730727,-0.010432355,0.268511839,1.156118914,0
-0.327760684,-1.103426233,1.145285255,-0.400964768,0.213672773,-0.349980583,-0.132546868,0
0.544881909,-2.346737203,0.154905049,-0.189195756,-0.898796906,-0.013549379,-0.438526962,0
-0.50708453,-1.858529026,0.77668644,0.715019371,-3.685915924,2.038752202,-1.398079042,0
-1.365099573,0.059131986,2.279942025,-0.1548289,0.067873554,-0.148614814,-0.86885019,0
0.346544965,-1.695179848,0.126794649,-0.856653282,0.593496177,-0.147388849,0.682771423,0
-0.201055552,-1.20644485,1.149721807,-0.892718253,-0.048031046,-0.031760403,-0.699786907,0
0.517296894,-1.956877077,0.309592016,-1.177319898,0.231245077,0.215141001,-1.293320065,0
-0.558536227,-0.754493087,1.353944723,-0.754861027,-0.21680033,-0.801657782,1.732425084,0
-0.630524799,-0.797496963,1.268664887,-0.097905591,0.22808566,-0.584639967,2.367078358,0
-0.727921789,-0.627109907,1.388542187,-0.244777998,0.175242623,-0.63161379,1.839240005,0
-1.073642154,-0.192349548,2.069555362,-0.636092271,-0.1961629,-0.348515657,-0.855578849,0
0.167961773,-1.610270523,0.630102846,-0.986310679,0.125518733,0.179757477,-0.253498582,0
-1.297630863,-0.017776124,2.171750333,-0.122576459,0.118980938,-0.179525259,-0.702335284,0
-1.397047063,0.133735643,2.362222917,-0.375486237,-0.131162103,-0.258243096,-0.748435259,0
0.051750159,-1.561827992,0.56100473,-0.209387682,0.446654381,-0.522481188,1.308884894,0
0.022963827,-1.918126993,0.868897283,0.347084892,-1.152441737,-0.459163959,0.788888957,0
-1.033823035,-0.250807967,1.865811525,-0.35623845,0.102376528,-0.416074208,0.300141814,0
0.188789065,-1.970345065,0.571426466,-0.062169609,-0.944770972,0.157516741,-1.342995802,0
0.374713972,-1.857067636,0.314824476,-0.670350277,0.199345442,-0.708298441,1.294206189,0
-0.78335764,-1.032713643,1.769268363,0.583063908,-1.254803057,-0.193068673,-0.730246718,0
-0.635850452,-0.849835618,1.667709288,-0.425409628,-0.176759535,-0.151909495,-0.357804168,0
0.244392952,-1.546129726,0.44345495,-1.238373812,0.215882348,-0.08350353,-0.617229505,0
-0.862489572,-0.993660668,1.81263623,0.712312982,-1.308757955,-0.268550383,0.793723149,0
0.13626906,-1.564851286,0.401605971,-0.96321219,0.283852029,0.005498239,0.238746596,0
0.597694821,-2.381561824,0.002409106,-0.260276988,-0.995754401,-0.296239099,1.111373484,0
-1.209186322,-0.187761235,1.121390052,0.180129167,-1.558677596,-0.148256402,2.16190804,0
-0.779430232,-0.553015509,1.630304174,-0.456084645,0.038375474,-0.430500758,0.188073017,0
-1.217183556,-0.596015097,2.308696206,0.608826116,-1.571807441,-0.193656675,0.408478625,0
-0.95686964,-0.402929803,1.822537865,-0.366827474,-0.103201036,-0.440070518,0.934579467,0
-1.026261091,0.445951127,1.794706319,-1.534771697,0.953397805,-1.091370895,0.472944205,0
-0.410210221,-0.902885835,1.04036137,-0.666057304,0.150918762,-0.439701508,1.357405245,0
0.204642738,-1.700554778,0.679198079,-0.773494134,-0.024276353,-0.501943706,0.338315064,0
-0.726350669,0.010093023,1.014164722,-2.825951049,-1.856143901,-1.065757577,2.34293445,0
0.031521048,-1.368863876,1.012954769,-1.446753791,-0.367668558,-0.275020389,-0.619647427,0
0.258174234,-1.685993023,0.578156124,-1.091876194,0.138193645,0.230639675,-1.14446453,0
-0.007318822,-1.207550875,0.540230091,-0.847319065,0.619629172,-0.563018158,1.30443297,0
-0.692635284,-0.785903239,1.385218736,-0.221235996,0.173462388,-0.340267372,0.925733581,0
-0.848196402,-0.590205272,1.622886362,-0.08003761,0.115375833,-0.381367938,1.610004576,0
-0.584343514,-0.487385626,1.84076826,-2.249482671,-1.399262,-1.257052819,1.27182946,0
-0.698579395,-0.622483179,1.679540732,-0.945763818,-0.541575369,-0.727102309,1.667593493,0
-0.053394607,-1.276356963,0.985169727,-1.234737569,0.019895468,0.30998527,-2.623018413,0
-1.286237992,-0.047219214,2.448806901,-0.614909016,-0.500608485,-0.172505283,-0.941632187,0
-0.377208882,-1.115425652,0.967139709,-0.27198978,0.276849739,-0.492881535,1.409226218,0
-0.75464481,-0.24589334,0.524132732,-1.006138253,-0.17322187,0.1125118,1.326826131,0
0.596160172,-1.949919868,0.107321685,-1.371650689,0.185688213,-0.104386928,-0.78463563,0
-0.807518092,-0.477421451,1.667091507,-0.572837408,0.01875954,-0.536290274,0.880887635,0
-0.391896218,-0.947135924,1.167179257,-0.756838886,0.054129308,-0.22166266,-0.151947944,0
-0.215249706,-1.23799983,1.044879058,-0.45487114,0.167800955,-0.360487759,-0.175976086,0
0.22196727,-1.487763621,0.804471405,-1.971824985,-0.59323547,-0.197795612,-0.730908045,0
0.964772316,-2.877722743,-0.426345931,-0.014290512,-0.737310309,-0.130917941,0.770949389,0
-0.294656225,-1.146069886,0.266420264,-0.54247574,-1.474918508,0.641640041,-0.798006659,0
0.236309768,-1.573300638,0.394057876,-0.988941274,0.443620685,0.034218521,-0.72730105,0
-0.420440387,-1.069319645,1.182012296,-0.166546857,0.232324954,-0.375816265,1.355551654,0
0.527504499,-1.959733272,0.105067838,-1.065321661,0.26107213,-0.092150505,0.657580862,0
-0.412138494,-0.550947551,1.588844189,-2.583900393,-1.449066981,-1.542586765,0.900803478,0
-0.434294932,-1.04551223,1.476688755,-0.488042084,-0.020750588,-0.071570061,-1.355243739,0
-0.181832982,-0.960575362,0.96230671,-1.580847098,-0.333704846,-0.865195094,1.575097623,0
-1.276481887,0.002588225,2.184480352,-0.318599401,0.005162723,-0.273903069,-0.637091397,0
0.10315478,-1.483756412,0.597287493,-0.757819248,0.168937614,-0.790019727,1.488364264,0
-0.415862829,-0.999144267,1.278876466,-0.625993753,-0.161795179,-0.595577831,1.559684723,0
-0.994382006,0.072429227,1.738336266,-0.812010621,0.796978615,-0.694031765,0.275662609,0
-1.548018713,0.654299729,1.732530358,-1.262761097,-0.875398106,-0.040361405,0.206416554,0
-0.760680591,-0.498947736,1.545339186,-0.744626114,-0.009882571,-0.261751268,0.07837142,0
-0.780955883,-0.58816938,1.345327686,-0.219699136,0.3967735,-0.527439262,1.614135445,0
0.221947343,-1.22169302,0.345271828,-1.183227776,0.251394209,-0.695048188,0.461766815,0
-1.047107115,-0.341810179,1.898375707,0.05434651,-0.813071638,-0.780995576,1.451895292,0
0.094503541,-2.029104393,0.59418473,0.632762032,-0.954341352,-0.580566957,1.756372221,0
-0.821684397,-0.998134902,1.666706655,0.716620083,-1.217601478,-0.428729907,1.428786468,0
-1.180144662,-0.091445191,2.125735543,-0.489623276,-0.139279089,-0.342911888,-0.618420927,0
-0.329646802,-0.970763745,1.001017749,-0.519640135,0.402841994,-0.682466976,1.409621918,0
-0.633644022,-0.727859707,1.327232904,-0.307981209,0.183702302,-0.598584332,1.573091141,0
-0.914024139,-0.579254209,0.966449753,0.082093647,-1.637730338,0.061554451,1.123496242,0
-0.683759274,-0.265921252,0.468922661,-1.266224581,-0.326021251,-0.060954701,1.614031247,0
-0.147970059,-1.641568731,0.788596073,0.286388201,-1.086766793,-0.473189588,1.836296285,0
-0.544100381,-1.821320773,0.478791251,1.146979579,-3.321410287,1.766493462,0.877792869,0
-0.001521494,-1.360441646,0.856697161,-1.140219553,0.046157307,0.174982384,-0.956992039,0
-0.445615581,-0.568170623,0.185643902,-1.129096953,-0.119648212,0.032069746,1.392290943,0
0.371040889,-1.72545868,0.090562749,-0.822333864,0.647194213,-0.129025907,0.647989394,0
-1.016591764,-0.014164706,2.276885033,-1.810151566,-0.925413645,-0.894347739,0.411260417,1
-0.964418697,-0.858978612,2.126264754,0.442069605,-1.545384238,-0.099663684,-0.791259534,0
-1.063396556,-0.235895687,1.95668657,-0.738525537,-0.226073573,-0.396794528,-0.582261231,0
-1.183195371,0.41489816,1.752175256,-2.667311877,-2.0081272,-0.547087754,0.566397667,1
-0.010064783,-1.081284657,1.033384822,-2.1768178,-0.934372283,-1.438743201,1.947722849,1
-0.266466186,-1.63777287,0.914409467,0.450016304,-1.006611135,-0.133379073,0.959407158,0
-1.004934214,-0.414602538,1.771959242,-0.248259216,0.093660913,-0.284119971,0.684289743,0
-0.112385835,-0.944735026,-0.135241861,-1.297927241,0.018261185,0.513041784,0.119631998,0
0.037404698,-2.032894215,0.58217538,0.667621224,-0.892990998,-0.462206155,1.561295374,0
