sample size, kernel, C, gamma, fit time, train time, test time, train mse, test mse, train mae, test mae, accuracy, precision, recall
50,1,1,0.1,0.001547098,0.000253201,0.000124931,0.025,0.3,0.025,0.3,0.975,1,0.75
50,1,1,0.01,0.000863075,0.00019908,0.000107765,0.025,0.3,0.025,0.3,0.975,1,0.75
50,1,1,0.001,0.000961065,0.000412941,0.000338793,0.025,0.3,0.025,0.3,0.975,1,0.75
50,1,1,0.0001,0.000869274,0.000237942,0.00015521,0.025,0.3,0.025,0.3,0.975,1,0.75
50,1,2,0.1,0.00072813,0.000252962,0.000138998,0.025,0.3,0.025,0.3,0.975,1,0.75
50,1,2,0.01,0.001262903,0.000402212,0.000194073,0.025,0.3,0.025,0.3,0.975,1,0.75
50,1,2,0.001,0.001255989,0.000269175,0.000143766,0.025,0.3,0.025,0.3,0.975,1,0.75
50,1,2,0.0001,0.001159906,0.000282764,0.000124931,0.025,0.3,0.025,0.3,0.975,1,0.75
50,1,4,0.1,0.000715971,0.000190973,0.000104904,0.025,0.3,0.025,0.3,0.975,1,0.75
50,1,4,0.01,0.000778913,0.000213146,0.000228882,0.025,0.3,0.025,0.3,0.975,1,0.75
50,1,4,0.001,0.001183987,0.000350952,0.000259161,0.025,0.3,0.025,0.3,0.975,1,0.75
50,1,4,0.0001,0.000808954,0.000257969,0.000152826,0.025,0.3,0.025,0.3,0.975,1,0.75
50,1,8,0.1,0.000905991,0.000135899,6.70E-05,0,0.5,0,0.5,1,1,1
50,1,8,0.01,0.000756025,0.000159979,0.000101089,0,0.5,0,0.5,1,1,1
50,1,8,0.001,0.001025915,0.000205994,0.000128031,0,0.5,0,0.5,1,1,1
50,1,8,0.0001,0.000802994,0.000192165,0.000124931,0,0.5,0,0.5,1,1,1
50,1,16,0.1,0.00106883,0.000972033,0.000496864,0,0.5,0,0.5,1,1,1
50,1,16,0.01,0.002864838,0.000254869,0.000117064,0,0.5,0,0.5,1,1,1
50,1,16,0.001,0.000830173,0.000165224,0.000106096,0,0.5,0,0.5,1,1,1
50,1,16,0.0001,0.000953197,0.000184774,0.000116825,0,0.5,0,0.5,1,1,1
50,2,1,0.1,0.000586987,0.00019908,0.000174999,0.075,0.2,0.075,0.2,0.925,1,0.25
50,2,1,0.01,0.001210928,0.000240803,0.000113964,0.1,0.2,0.1,0.2,0.9,0,0
50,2,1,0.001,0.000342846,0.000155926,0.00011301,0.1,0.2,0.1,0.2,0.9,0,0
50,2,1,0.0001,0.000320911,0.000102758,6.29E-05,0.1,0.2,0.1,0.2,0.9,0,0
50,2,2,0.1,0.000501871,0.0001297,6.82E-05,0.025,0.2,0.025,0.2,0.975,1,0.75
50,2,2,0.01,0.001347065,0.000301838,0.000174046,0.1,0.2,0.1,0.2,0.9,0,0
50,2,2,0.001,0.000649214,0.000188112,7.99E-05,0.1,0.2,0.1,0.2,0.9,0,0
