split point, sample size, kernel, penalty param, gamma, fit time, train time, test time, train mse, test mse, train mae, test mae, accuracy, precision, recall,cv1,,,,,,,,
0.2,100,linear,1,0.1,0.001072168,0.000300884,0.000114202,0.0875,0.05,0.0875,0.05,0.9125,0.888888889,0.5714285714291.0,0.666666667,0.666666667,1,1,1,1,1,0,1
0.2,100,linear,1,10,0.000723839,0.000272989,0.000114918,0.0875,0.05,0.0875,0.05,0.9125,0.888888889,0.5714285714291.0,0.666666667,0.666666667,1,1,1,1,1,0,1
0.2,100,linear,1,100,0.000809193,0.000281811,0.000111103,0.0875,0.05,0.0875,0.05,0.9125,0.888888889,0.5714285714291.0,0.666666667,0.666666667,1,1,1,1,1,0,1
0.2,100,linear,2,0.1,0.00087595,0.000301838,0.000208139,0.05,0.05,0.05,0.05,0.95,0.916666667,0.7857142857141.0,0.666666667,0.666666667,1,1,1,1,1,0,1
0.2,100,linear,2,10,0.001034021,0.000303984,0.000121117,0.05,0.05,0.05,0.05,0.95,0.916666667,0.7857142857141.0,0.666666667,0.666666667,1,1,1,1,1,0,1
0.2,100,linear,2,100,0.000859976,0.00027895,0.000113964,0.05,0.05,0.05,0.05,0.95,0.916666667,0.7857142857141.0,0.666666667,0.666666667,1,1,1,1,1,0,1
0.2,100,linear,4,0.1,0.00199914,0.000300169,0.000114202,0.05,0.1,0.05,0.1,0.95,0.916666667,0.7857142857141.0,0.666666667,0.666666667,1,1,1,1,1,0,1
0.2,100,linear,4,10,0.00110507,0.000299931,0.000123024,0.05,0.1,0.05,0.1,0.95,0.916666667,0.7857142857141.0,0.666666667,0.666666667,1,1,1,1,1,0,1
0.2,100,linear,4,100,0.001143694,0.000307083,0.000113249,0.05,0.1,0.05,0.1,0.95,0.916666667,0.7857142857141.0,0.666666667,0.666666667,1,1,1,1,1,0,1
0.2,100,linear,8,0.1,0.001165867,0.00032115,0.000133991,0.0375,0.1,0.0375,0.1,0.9625,1,0.7857142857141.0,0.666666667,0.666666667,1,1,1,1,1,0,1
0.2,100,linear,8,10,0.001910925,0.000371218,0.000134945,0.0375,0.1,0.0375,0.1,0.9625,1,0.7857142857141.0,0.666666667,0.666666667,1,1,1,1,1,0,1
0.2,100,linear,8,100,0.000980854,0.000273943,0.00011301,0.0375,0.1,0.0375,0.1,0.9625,1,0.7857142857141.0,0.666666667,0.666666667,1,1,1,1,1,0,1
0.2,100,rbf,1,0.1,0.000747204,0.000361919,0.000135899,0.075,0.15,0.075,0.15,0.925,1,0.5714285714290.666666666667,0.666666667,0.666666667,1,1,1,1,1,1,1
0.2,100,rbf,1,10,0.000971079,0.000410795,0.000145197,0,0.15,0,0.15,1,1,1.00.666666666667,0.666666667,0.666666667,1,1,1,1,1,1,1
0.2,100,rbf,1,100,0.000793934,0.000375032,0.000132084,0,0.15,0,0.15,1,1,1.00.666666666667,0.666666667,0.666666667,1,1,1,1,1,1,1
0.2,100,rbf,2,0.1,0.000765085,0.000380993,0.000144005,0.0125,0.1,0.0125,0.1,0.9875,1,0.9285714285710.666666666667,0.666666667,0.666666667,1,1,1,1,1,1,1
0.2,100,rbf,2,10,0.000951052,0.000677109,0.000388145,0,0.15,0,0.15,1,1,1.00.666666666667,0.666666667,0.666666667,1,1,1,1,1,1,1
0.2,100,rbf,2,100,0.000815153,0.000372171,0.000132084,0,0.15,0,0.15,1,1,1.00.666666666667,0.666666667,0.666666667,1,1,1,1,1,1,1
0.2,100,rbf,4,0.1,0.000780821,0.000357151,0.000131845,0.0125,0.15,0.0125,0.15,0.9875,1,0.9285714285710.666666666667,0.666666667,0.666666667,1,1,1,1,1,1,1
0.2,100,rbf,4,10,0.000959158,0.000399113,0.000145912,0,0.15,0,0.15,1,1,1.00.666666666667,0.666666667,0.666666667,1,1,1,1,1,1,1
0.2,100,rbf,4,100,0.0008111,0.000360966,0.000130892,0,0.15,0,0.15,1,1,1.00.666666666667,0.666666667,0.666666667,1,1,1,1,1,1,1
0.2,100,rbf,8,0.1,0.000792027,0.000348806,0.00013113,0.0125,0.15,0.0125,0.15,0.9875,1,0.9285714285710.666666666667,0.666666667,0.666666667,1,1,1,1,1,1,1
0.2,100,rbf,8,10,0.000946045,0.000397921,0.000146151,0,0.15,0,0.15,1,1,1.00.666666666667,0.666666667,0.666666667,1,1,1,1,1,1,1
0.2,100,rbf,8,100,0.000818968,0.000367165,0.000130892,0,0.15,0,0.15,1,1,1.00.666666666667,0.666666667,0.666666667,1,1,1,1,1,1,1
0.2,100,poly,1,0.1,0.000730991,0.000320911,0.000129938,0.05,0.05,0.05,0.05,0.95,1,0.7142857142860.666666666667,0.666666667,0.666666667,1,1,1,1,1,0,1
0.2,100,poly,1,10,0.001199245,0.000401974,0.000227213,0,0.2,0,0.2,1,1,1.00.666666666667,0.666666667,0.666666667,1,1,1,1,1,0,1
0.2,100,poly,1,100,0.000738144,0.000302792,0.000118017,0,0.2,0,0.2,1,1,1.00.666666666667,0.666666667,0.666666667,1,1,1,1,1,0,1
0.2,100,poly,2,0.1,0.001912117,0.000828028,0.000282049,0.0375,0.1,0.0375,0.1,0.9625,1,0.7857142857140.666666666667,0.666666667,0.666666667,1,1,1,1,1,0,1
0.2,100,poly,2,10,0.000763178,0.00031209,0.000120878,0,0.2,0,0.2,1,1,1.00.666666666667,0.666666667,0.666666667,1,1,1,1,1,0,1
