age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
58,4,2,2,0,2143,1,0,1,5,3,261,1,-1,0,1,0
33,1,0,2,0,0,1,0,2,21,10,654,1,-1,0,1,1
44,1,0,1,0,29,1,0,1,5,3,151,1,-1,0,1,0
33,7,2,1,0,2,1,1,1,5,3,76,1,-1,0,1,0
47,5,2,0,0,1506,1,0,1,5,3,92,1,-1,0,1,0
33,2,0,0,0,1,0,0,1,5,3,198,1,-1,0,1,0
35,4,2,2,0,231,1,0,1,5,3,139,1,-1,0,1,0
28,4,0,2,0,447,1,1,1,5,3,217,1,-1,0,1,0
42,7,1,2,1,2,1,0,1,5,3,380,1,-1,0,1,0
58,6,2,3,0,121,1,0,1,5,3,50,1,-1,0,1,0
43,1,0,1,0,593,1,0,1,5,3,55,1,-1,0,1,0
41,10,1,1,0,270,1,0,1,5,3,222,1,-1,0,1,0
29,10,0,1,0,390,1,0,1,5,3,137,1,-1,0,1,0
53,1,2,1,0,6,1,0,1,5,3,517,1,-1,0,1,0
58,1,2,0,0,71,1,0,1,5,3,71,1,-1,0,1,0
57,0,2,1,0,162,1,0,1,5,3,174,1,-1,0,1,0
51,6,2,3,0,229,1,0,1,5,3,353,1,-1,0,1,0
45,10,0,0,0,13,1,0,1,5,3,98,1,-1,0,1,0
57,5,2,3,0,52,1,0,1,5,3,38,1,-1,0,1,0
60,6,2,3,0,60,1,0,1,5,3,219,1,-1,0,1,0
33,0,2,1,0,0,1,0,1,5,3,54,1,-1,0,1,0
28,5,2,1,0,723,1,1,1,5,3,262,1,-1,0,1,0
56,4,2,2,0,779,1,0,1,5,3,164,1,-1,0,1,0
32,5,0,3,0,23,1,1,1,5,3,160,1,-1,0,1,0
25,0,2,1,0,50,1,0,1,5,3,342,1,-1,0,1,0
40,6,2,3,0,0,1,1,1,5,3,181,1,-1,0,1,0
44,10,2,1,0,-372,1,0,1,5,3,172,1,-1,0,1,0
39,4,0,2,0,255,1,0,1,5,3,296,1,-1,0,1,0
52,7,2,1,0,113,1,1,1,5,3,127,1,-1,0,1,0
46,4,0,1,0,-246,1,0,1,5,3,255,2,-1,0,1,0
36,1,0,1,0,265,1,1,1,5,3,348,1,-1,0,1,0
57,1,2,1,0,839,0,1,1,5,3,225,1,-1,0,1,0
49,4,2,2,0,378,1,0,1,5,3,230,1,-1,0,1,0
60,10,2,1,0,39,1,1,1,5,3,208,1,-1,0,1,0
59,5,2,1,0,0,1,0,1,5,3,226,1,-1,0,1,0
51,4,2,2,0,10635,1,0,1,5,3,336,1,-1,0,1,0
57,1,1,1,0,63,1,0,1,5,3,242,1,-1,0,1,0
25,5,2,1,0,-7,1,0,1,5,3,365,1,-1,0,1,0
53,1,2,1,0,-3,0,0,1,5,3,1666,1,-1,0,1,0
36,10,1,1,0,506,1,0,1,5,3,577,1,-1,0,1,0
37,10,0,1,0,0,1,0,1,5,3,137,1,-1,0,1,0
44,0,1,1,0,2586,1,0,1,5,3,160,1,-1,0,1,0
50,4,2,1,0,49,1,0,1,5,3,180,2,-1,0,1,0
60,5,2,0,0,104,1,0,1,5,3,22,1,-1,0,1,0
54,6,2,1,0,529,1,0,1,5,3,1492,1,-1,0,1,0
58,6,2,0,0,96,1,0,1,5,3,616,1,-1,0,1,0
36,10,0,3,0,-171,1,0,1,5,3,242,1,-1,0,1,0
58,11,2,2,0,-364,1,0,1,5,3,355,1,-1,0,1,0
44,1,2,1,0,0,1,0,1,5,3,225,2,-1,0,1,0
55,1,1,1,0,0,0,0,1,5,3,160,1,-1,0,1,0
29,4,0,2,0,0,1,0,1,5,3,363,1,-1,0,1,0
54,5,2,1,0,1291,1,0,1,5,3,266,1,-1,0,1,0
48,4,1,2,0,-244,1,0,1,5,3,253,1,-1,0,1,0
32,4,2,2,0,0,1,0,1,5,3,179,1,-1,0,1,0
42,10,0,1,0,-76,1,0,1,5,3,787,1,-1,0,1,0
24,1,0,1,0,-103,1,1,1,5,3,145,1,-1,0,1,0
38,7,0,2,0,243,0,1,1,5,3,174,1,-1,0,1,0
38,4,0,2,0,424,1,0,1,5,3,104,1,-1,0,1,0
47,5,2,0,0,306,1,0,1,5,3,13,1,-1,0,1,0
40,5,0,0,0,24,1,0,1,5,3,185,1,-1,0,1,0
46,0,2,3,0,179,1,0,1,5,3,1778,1,-1,0,1,0
32,10,2,2,0,0,1,0,1,5,3,138,1,-1,0,1,0
53,1,1,1,0,989,1,0,1,5,3,812,1,-1,0,1,0
57,5,2,3,0,249,1,0,1,5,3,164,1,-1,0,1,0
33,0,2,1,0,790,1,0,1,5,3,391,1,-1,0,1,0
49,5,2,0,0,154,1,0,1,5,3,357,1,-1,0,1,0
51,4,2,2,0,6530,1,0,1,5,3,91,1,-1,0,1,0
60,6,2,2,0,100,0,0,1,5,3,528,1,-1,0,1,0
59,4,1,2,0,59,1,0,1,5,3,273,1,-1,0,1,0
55,1,2,1,0,1205,1,0,1,5,3,158,2,-1,0,1,0
35,5,0,1,0,12223,1,1,1,5,3,177,1,-1,0,1,0
57,5,2,1,0,5935,1,1,1,5,3,258,1,-1,0,1,0
31,0,2,1,0,25,1,1,1,5,3,172,1,-1,0,1,0
54,4,2,1,0,282,1,1,1,5,3,154,1,-1,0,1,0
55,5,2,3,0,23,1,0,1,5,3,291,1,-1,0,1,0
43,1,2,1,0,1937,1,0,1,5,3,181,1,-1,0,1,0
53,1,2,1,0,384,1,0,1,5,3,176,1,-1,0,1,0
44,5,2,1,0,582,0,1,1,5,3,211,1,-1,0,1,0
55,0,1,1,0,91,0,0,1,5,3,349,1,-1,0,1,0
49,0,1,1,0,0,1,1,1,5,3,272,1,-1,0,1,0
55,0,1,1,1,1,1,0,1,5,3,208,1,-1,0,1,0
45,10,0,1,0,206,1,0,1,5,3,193,1,-1,0,1,0
47,0,1,1,0,164,0,0,1,5,3,212,1,-1,0,1,0
42,1,0,1,0,690,1,0,1,5,3,20,1,-1,0,1,0
59,10,2,1,0,2343,1,0,1,5,3,1042,1,-1,0,1,1
46,11,2,2,0,137,1,1,1,5,3,246,1,-1,0,1,0
51,5,2,3,0,173,1,0,1,5,3,529,2,-1,0,1,0
56,10,2,1,0,45,0,0,1,5,3,1467,1,-1,0,1,1
41,1,2,1,0,1270,1,0,1,5,3,1389,1,-1,0,1,1
46,4,1,1,0,16,1,1,1,5,3,188,2,-1,0,1,0
57,6,2,1,0,486,1,0,1,5,3,180,2,-1,0,1,0
42,4,0,1,0,50,0,0,1,5,3,48,1,-1,0,1,0
30,1,2,1,0,152,1,1,1,5,3,213,2,-1,0,1,0
60,10,2,1,0,290,1,0,1,5,3,583,1,-1,0,1,0
60,5,2,0,0,54,1,0,1,5,3,221,1,-1,0,1,0
57,7,1,1,0,-37,0,0,1,5,3,173,1,-1,0,1,0
36,4,2,2,0,101,1,1,1,5,3,426,1,-1,0,1,0
55,5,2,1,0,383,0,0,1,5,3,287,1,-1,0,1,0
60,6,2,2,0,81,1,0,1,5,3,101,1,-1,0,1,0
39,1,2,1,0,0,1,0,1,5,3,203,1,-1,0,1,0
46,4,2,2,0,229,1,0,1,5,3,197,1,-1,0,1,0
44,5,2,1,0,-674,1,0,1,5,3,257,1,-1,0,1,0
53,5,2,3,0,90,0,0,1,5,3,124,1,-1,0,1,0
52,5,2,3,0,128,1,0,1,5,3,229,1,-1,0,1,0
59,5,2,3,0,179,1,0,1,5,3,55,3,-1,0,1,0
27,1,0,2,0,0,1,0,1,5,3,400,1,-1,0,1,0
44,5,2,1,0,54,1,0,1,5,3,197,1,-1,0,1,0
47,1,2,2,0,151,1,0,1,5,3,190,1,-1,0,1,0
34,10,2,1,0,61,0,1,1,5,3,21,1,-1,0,1,0
59,6,0,1,0,30,1,0,1,5,3,514,1,-1,0,1,0
45,4,2,2,0,523,1,0,1,5,3,849,2,-1,0,1,0
29,0,1,1,0,31,1,0,1,5,3,194,1,-1,0,1,0
46,1,1,1,0,79,0,0,1,5,3,144,1,-1,0,1,0
56,11,2,3,0,-34,1,1,1,5,3,212,2,-1,0,1,0
36,5,2,3,0,448,1,0,1,5,3,286,1,-1,0,1,0
59,6,1,3,0,81,1,0,1,5,3,107,1,-1,0,1,0
44,5,2,1,0,144,1,0,1,5,3,247,2,-1,0,1,0
41,10,2,1,0,351,1,0,1,5,3,518,1,-1,0,1,0
33,4,0,2,0,-67,1,0,1,5,3,364,1,-1,0,1,0
59,4,1,2,0,262,0,0,1,5,3,178,1,-1,0,1,0
57,1,2,3,0,0,0,0,1,5,3,98,1,-1,0,1,0
56,1,1,0,0,56,1,0,1,5,3,439,1,-1,0,1,0
51,5,2,1,0,26,1,0,1,5,3,79,1,-1,0,1,0
34,10,2,0,0,3,1,0,1,5,3,120,3,-1,0,1,0
43,0,2,1,0,41,1,1,1,5,3,127,2,-1,0,1,0
52,1,2,2,0,7,0,1,1,5,3,175,1,-1,0,1,0
33,1,0,1,0,105,1,0,1,5,3,262,2,-1,0,1,0
29,10,0,1,0,818,1,1,1,5,3,61,1,-1,0,1,0
34,0,2,1,0,-16,1,1,1,5,3,78,1,-1,0,1,0
31,5,2,1,0,0,1,0,1,5,3,143,1,-1,0,1,0
